CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,16,MICHOACAN,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,4,243,90,66,27,41,58,787,34,5,33,98,48,1,4,1,1536,11,17,1564,0
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,2,21,46,155,12,10,8,237,1,3,1,5,3,0,0,0,502,0,14,516,1131
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,2,19,42,151,21,6,5,237,4,2,4,4,1,0,3,0,499,0,15,514,976
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,2,8,35,144,13,7,7,264,3,2,2,3,2,0,0,0,490,1,7,498,885
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,3,4,20,173,11,3,1,288,4,2,3,4,0,0,1,0,514,0,13,527,934
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,416,1,3,9,72,12,2,2,92,3,1,0,1,0,0,0,0,197,0,5,202,655
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,417,1,5,4,82,8,2,4,157,4,2,1,2,0,0,0,0,271,0,5,276,650
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,418,1,2,13,76,3,5,0,93,0,1,0,2,0,0,0,0,195,0,7,202,548
,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,419,1,0,16,43,2,1,0,38,1,1,0,3,0,0,0,1,106,0,4,110,313
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,2,217,35,28,25,4,56,167,5,1,0,7,4,0,5,0,554,0,13,567,955
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,2,145,14,40,16,5,34,124,4,1,2,5,4,1,8,0,403,0,21,424,763
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,2,163,27,34,14,3,54,131,2,2,1,3,1,2,1,0,438,0,19,457,824
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,2,340,18,37,37,8,102,237,67,4,0,4,3,2,9,1,869,16,35,920,1484
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,2,156,10,12,10,14,92,51,2,0,0,1,1,1,0,0,350,0,6,356,762
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,2,65,9,12,4,5,55,120,1,0,0,0,0,0,0,0,271,0,21,292,990
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,3,462,67,29,32,16,112,283,2,2,2,7,5,1,8,0,1028,5,18,1051,1877
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,440,2,212,11,74,18,7,53,111,5,4,1,3,1,1,5,0,506,0,10,516,960
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,441,1,98,6,23,16,6,18,116,5,6,5,3,0,0,3,0,305,0,12,317,659
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,442,1,82,12,15,7,2,71,95,3,0,0,1,1,2,3,0,294,0,13,307,547
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,443,1,98,13,24,6,1,50,35,2,0,1,0,1,0,3,0,234,0,14,248,511
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,444,2,109,17,19,11,5,42,67,6,0,0,3,2,0,2,0,283,0,10,293,548
,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,445,1,71,6,9,10,4,57,31,0,2,1,1,3,0,0,0,195,0,16,211,552
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,673,2,59,246,173,75,8,2,168,5,2,32,13,8,18,0,0,809,0,23,832,1445
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,674,2,56,205,84,54,0,1,163,2,3,23,9,5,19,1,0,625,0,16,641,1070
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,675,2,44,170,134,88,1,67,101,3,2,31,5,2,11,0,1,660,0,22,682,1059
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,676,1,28,140,78,29,3,3,84,1,2,6,2,3,12,0,0,391,1,8,400,640
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,677,1,10,74,52,71,3,1,104,2,1,4,8,0,10,0,0,340,0,19,359,700
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,678,3,16,164,175,286,9,8,143,8,3,12,5,5,0,2,2,838,0,37,875,1497
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,679,2,13,99,70,173,6,3,51,4,3,9,8,4,3,0,0,446,0,11,457,770
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,680,1,8,104,73,65,2,4,59,1,1,4,4,0,3,0,1,329,0,9,338,539
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,681,2,19,79,124,66,5,2,58,9,4,6,1,1,6,0,0,380,0,15,395,786
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,682,2,21,250,103,76,12,7,114,8,2,23,8,3,2,0,0,629,0,15,644,1202
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,683,2,16,222,191,94,5,11,141,7,6,27,7,6,5,3,2,743,1,21,765,1317
,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,684,1,4,111,45,62,3,6,20,2,1,4,2,0,4,0,0,264,0,17,281,539
,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1369,3,102,392,164,25,13,7,329,22,2,7,6,7,0,0,1,1077,0,22,1099,1793
,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1370,4,154,516,293,25,11,20,326,44,3,1,4,6,0,1,2,1406,1,33,1440,2369
,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1371,1,16,19,9,4,2,1,31,12,0,0,0,0,0,1,0,95,0,1,96,201
,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1372,1,55,50,30,0,2,2,27,1,0,0,0,0,0,0,0,167,0,2,169,355
,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1373,4,295,433,114,17,4,10,314,15,3,4,72,217,1,1,0,1500,0,26,1526,2489
